The	AT
Fulton	NP
County	NN
Grand	JJ
Jury	NN
said	VB
Friday	NR
an	AT
investigation	NN
of	IN
Atlanta's	NP
recent	JJ
primary	JJ
election	NN
produced	VB
``	``
no	AT
evidence	NN
''	''
that	CS
any	DT
irregularities	NN
took	VB
place	NN
.	.
jury	NN
further	RB
in	IN
term-end	NN
presentments	NN
the	AT
City	NN
Executive	JJ
Committee	NN
,	,
which	WD
had	HV
over-all	JJ
charge	NN
deserves	VB
praise	NN
and	CC
thanks	NN
Atlanta	NP
for	IN
manner	NN
was	BE
conducted	VB
September-October	NP
term	NN
been	BE
charged	VB
by	IN
Superior	JJ
Court	NN
Judge	NN
Durwood	NP
Pye	NP
to	TO
investigate	VB
reports	NN
possible	JJ
hard-fought	JJ
won	VB
Mayor-nominate	NN
Ivan	NP
Allen	NP
Jr.	NP
Only	RB
a	AT
relative	JJ
handful	NN
such	JJ
received	VB
considering	VB
widespread	JJ
interest	NN
number	NN
voters	NN
size	NN
this	DT
city	NN
it	PP
did	DO
find	VB
many	AP
Georgia's	NP
registration	NN
laws	NN
are	BE
outmoded	JJ
or	CC
inadequate	JJ
often	RB
ambiguous	JJ
It	PP
recommended	VB
legislators	NN
act	NN
have	HV
these	DT
studied	VB
revised	VB
end	NN
modernizing	VB
improving	VB
them	PP
grand	JJ
commented	VB
on	IN
other	AP
topics	NN
among	IN
purchasing	VB
departments	NN
well	RB
operated	VB
follow	VB
generally	RB
accepted	VB
practices	NN
inure	VB
best	JJ
both	AB
governments	NN
Merger	NN
proposed	VB
However	RB
believes	VB
two	CD
offices	NN
should	MD
be	BE
combined	VB
achieve	VB
greater	JJ
efficiency	NN
reduce	VB
cost	NN
administration	NN
Purchasing	VB
Department	NN
is	BE
lacking	VB
experienced	VB
clerical	JJ
personnel	NN
as	CS
result	NN
policies	NN
urged	VB
take	VB
steps	NN
remedy	NN
problem	NN
Implementation	NN
automobile	NN
title	NN
law	NN
also	RB
outgoing	JJ
next	AP
Legislature	NN
provide	VB
enabling	VB
funds	NN
re-set	VB
effective	JJ
date	NN
so	QL
orderly	JJ
implementation	NN
may	MD
effected	VB
swipe	NN
at	IN
State	NN
Welfare	NN
Department's	NN
handling	NN
federal	JJ
granted	VB
child	NN
welfare	NN
services	NN
foster	VB
homes	NN
This	DT
one	CD
major	JJ
items	NN
general	JJ
assistance	NN
program	NN
but	CC
has	HV
seen	VB
fit	VB
distribute	VB
through	IN
all	AB
counties	NN
state	NN
with	IN
exception	NN
receives	VB
none	PN
money	NN
jurors	NN
they	PP
realize	VB
proportionate	JJ
distribution	NN
might	MD
disable	VB
our	PP
less	AP
populous	JJ
Nevertheless	RB
we	PP
feel	VB
future	NN
receive	VB
some	DT
portion	NN
available	JJ
Failure	NN
do	DO
will	MD
continue	VB
disproportionate	JJ
burden	NN
taxpayers	NN
ordinary's	NN
court	NN
under	IN
fire	NN
its	PP
appointment	NN
appraisers	NN
guardians	NN
administrators	NN
awarding	VB
fees	NN
compensation	NN
Wards	NN
protected	VB
found	VB
incorporated	VB
into	IN
operating	VB
procedures	NN
recommendations	NN
previous	JJ
juries	NN
Bar	NN
Association	NN
interim	NN
citizens	NN
committee	NN
These	DT
actions	NN
serve	VB
protect	VB
fact	NN
effect	NN
court's	NN
wards	NN
from	IN
undue	JJ
costs	NN
appointed	VB
elected	VB
servants	NN
unmeritorious	JJ
criticisms	NN
Regarding	IN
new	JJ
multi-million-dollar	JJ
airport	NN
when	WR
management	NN
takes	VB
Jan.	NP
1	CD
eliminate	VB
political	JJ
influences	NN
not	*
elaborate	JJ
added	VB
there	EX
periodic	JJ
surveillance	NN
pricing	VB
concessionaires	NN
purpose	NN
keeping	VB
prices	NN
reasonable	JJ
Ask	VB
jail	NN
deputies	NN
On	IN
matters	NN
:	:
(	(
)	)
Four	CD
additional	JJ
employed	VB
Jail	NN
doctor	NN
medical	JJ
intern	NN
extern	NN
night	NN
weekend	NN
duty	NN
2	CD
work	NN
officials	NN
pass	VB
legislation	NN
permit	VB
establishment	NN
fair	JJ
equitable	JJ
pension	NN
plan	NN
employes	NN
praised	VB
operation	NN
Police	NN
Tax	NN
Commissioner's	NN
Office	NN
Bellwood	NP
Alpharetta	NP
prison	NN
farms	NN
Grady	NP
Hospital	NN
Health	NN
Mayor	NN
William	NP
B.	NP
Hartsfield	NP
filed	VB
suit	NN
divorce	NN
his	PP
wife	NN
Pearl	NN
Williams	NP
His	PP
petition	NN
mental	JJ
cruelty	NN
couple	NN
married	VB
Aug.	NP
1913	CD
They	PP
son	NN
Berry	NP
daughter	NN
Mrs.	NP
J.	NP
M.	NP
Cheshire	NP
Griffin	NP
Attorneys	NN
mayor	NN
amicable	JJ
property	NN
settlement	NN
agreed	VB
upon	IN
listed	VB
mayor's	NN
occupation	NN
attorney	NN
age	NN
71	CD
wife's	NN
74	CD
birth	NN
Opelika	NP
Ala.	NP
lived	VB
together	RB
man	NN
more	QL
than	CS
year	NN
home	NR
637	CD
E.	NP
Pelham	NP
Rd.	NN
Aj	NN
Henry	NP
L.	NP
Bowden	NP
brief	JJ
interlude	NN
since	CS
1937	CD
career	NN
goes	VB
back	RB
council	NN
1923	CD
present	JJ
office	NN
expires	VB
He	PP
succeeded	VB
who	WP
became	VB
candidate	NN
Sept.	NP
13	CD
after	IN
announced	VB
he	PP
would	MD
run	VB
reelection	NN
Georgia	NP
Republicans	NP
getting	VB
strong	JJ
encouragement	NN
enter	VB
1962	CD
governor's	NN
race	NN
top	NN
official	JJ
Wednesday	NR
Robert	NP
Snodgrass	NP
GOP	NN
chairman	NN
meeting	NN
held	VB
Tuesday	NR
Blue	JJ
Ridge	NN
brought	VB
enthusiastic	JJ
responses	NN
audience	NN
Party	NN
Chairman	NN
James	NP
W.	NP
Dorsey	NP
enthusiasm	NN
picking	VB
up	RP
rally	NN
8	CD
Savannah	NP
newly	RB
Texas	NP
Sen.	NN
John	NP
Tower	NP
featured	VB
speaker	NN
In	IN
warned	VB
entering	VB
governor	NN
force	NN
petitions	NN
out	RP
voting	VB
precincts	NN
obtain	VB
signatures	NN
registered	VB
Despite	IN
warning	VB
unanimous	JJ
vote	NN
according	IN
attended	VB
When	WR
crowd	NN
asked	VB
whether	CS
wanted	VB
wait	VB
make	VB
voted	VB
--	--
were	BE
dissents	NN
largest	JJ
hurdle	NN
face	NN
says	VB
before	CS
making	VB
first	OD
alternative	NN
courses	NN
must	MD
taken	VB
Five	CD
per	IN
cent	NN
each	DT
county	NN
sign	NN
requesting	VB
allowed	VB
names	NN
candidates	NN
ballot	NN
hold	VB
unit	NN
system	NN
party	NN
opposes	VB
platform	NN
Sam	NP
Caldwell	NP
Highway	NN
public	JJ
relations	NN
director	NN
resigned	VB
Lt.	NN
Gov.	NN
Garland	NP
Byrd's	NP
campaign	NN
Caldwell's	NP
resignation	NN
expected	VB
time	NN
Rob	NP
Ledford	NP
Gainesville	NP
assistant	NN
three	CD
years	NN
gubernatorial	JJ
starts	VB
become	VB
coordinator	NN
Byrd	NP
wind	NN
1961	CD
session	NN
Monday	NR
head	NN
where	WR
highway	NN
bond	NN
approved	VB
shortly	RB
Before	CS
adjournment	NN
afternoon	NN
Senate	NN
approve	VB
study	NN
allotted	VB
rural	JJ
urban	JJ
areas	NN
determine	VB
what	WD
adjustments	NN
made	VB
Vandiver	NP
traditional	JJ
visit	NN
chambers	NN
toward	IN
likely	JJ
mention	VB
$100	NN
million	CD
issue	NN
earlier	JJ
priority	NN
item	NN
Construction	NN
bonds	NN
Meanwhile	RB
learned	VB
very	QL
near	IN
being	BE
ready	JJ
$30	NN
worth	JJ
reconstruction	NN
go	VB
courts	NN
friendly	JJ
test	NN
validity	NN
then	RB
sales	NN
begin	VB
contracts	NN
let	VB
repair	NN
most	QL
heavily	RB
traveled	VB
highways	NN
A	AT
source	NN
$3	NN
$4	NN
Rural	JJ
Roads	NN
Authority	NN
road	NN
construction	NN
revolving	VB
fund	NN
department	NN
apparently	RB
intends	VB
issued	VB
every	AT
old	JJ
ones	NN
paid	VB
off	RP
tax	NN
authorities	NN
opened	VB
1958	CD
battle	NN
against	IN
issuance	NN
$50	NN
roads	NN
Marvin	NP
told	VB
Constitution	NN
however	RB
consulted	VB
yet	RB
about	IN
plans	NN
Schley	NP
Rep.	NN
D.	NP
offer	VB
resolution	NN
House	NN
rescind	VB
body's	NN
action	NN
itself	PP
$10	NN
day	NN
increase	NN
expense	NN
allowances	NN
Sunday	NR
research	NN
done	VB
quickie	NN
can	MD
repealed	VB
outright	JJ
notice	NN
given	VB
reconsideration	NN
sought	VB
While	CS
emphasizing	VB
technical	JJ
details	NN
fully	RB
worked	VB
seek	VB
set	VB
aside	RB
privilege	NN
87-31	CD
similar	JJ
passed	VB
29-5	CD
As	CS
word	NN
offered	VB
pointed	VB
last	AP
November	NP
rejected	VB
constitutional	JJ
amendment	NN
allow	VB
pay	VB
raises	VB
sessions	NN
veteran	NN
Jackson	NP
legislator	NN
ask	VB
aid	NN
education	NN
something	PN
consistently	RB
opposed	VB
past	NN
Mac	NP
Barber	NP
Commerce	NN
asking	VB
endorse	VB
increased	VB
support	NN
provided	VB
expended	VB
13th	OD
members	NN
congressional	JJ
delegation	NN
Washington	NP
like	CS
see	VB
But	CC
congressmen	NN
specifically	RB
him	PP
tossed	VB
hopper	NN
formally	RB
read	VB
event	NN
Congress	NP
does	DO
Board	NN
Education	NN
directed	VB
give	VB
teacher	NN
Colquitt	NP
After	IN
long	JJ
hot	JJ
controversy	NN
Miller	NP
school	NN
superintendent	NN
policeman	NN
put	VB
coolest	JJ
I	PP
ever	RB
saw	VB
Harry	NP
Davis	NP
agriculture	NN
defeated	VB
Felix	NP
Bush	NP
principal	JJ
Democratic	JJ
1,119	CD
votes	NN
Saturday's	NR
got	VB
402	CD
Ordinary	JJ
Carey	NP
armed	VB
pistol	NN
stood	VB
polls	NN
insure	VB
order	NN
calmest	JJ
Policeman	NN
Tom	NP
Being	BE
just	RB
church	NN
didn't	DO
smell	NN
drop	VB
liquor	NN
bit	NN
trouble	NN
leading	VB
quiet	JJ
marked	VB
anonymous	JJ
midnight	NN
phone	NN
calls	VB
veiled	VB
threats	NN
violence	NN
former	AP
George	NP
P.	NP
Callan	NP
shot	NN
himself	PP
death	NN
March	NP
18	CD
four	CD
days	NN
post	NN
dispute	NN
board	NN
During	IN
reportedly	RB
telephone	NN
too	QL
subjected	VB
soon	RB
scheduled	VB
Many	AP
local	JJ
feared	VB
carry	VB
gun	NN
promised	VB
Sheriff	NN
Tabb	NP
ordinary	JJ
good	JJ
promise	NN
Everything	PN
went	VB
real	JJ
smooth	JJ
sheriff	NN
There	EX
wasn't	BE
Austin	NP
approval	NN
Price	NP
Daniel's	NP
abandoned	VB
seemed	VB
certain	JJ
Thursday	NR
despite	IN
adamant	JJ
protests	NN
bankers	NN
Daniel	NP
personally	RB
led	VB
fight	NN
measure	NN
watered	VB
down	RP
considerably	RB
rejection	NN
Legislatures	NN
hearing	NN
Revenue	NN
Taxation	NN
Under	IN
rules	NN
automatically	RB
subcommittee	NN
week	NN
questions	NN
taunted	VB
appearing	VB
witnesses	NN
left	VB
little	AP
doubt	NN
recommend	VB
passage	NN
termed	VB
extremely	QL
conservative	JJ
estimate	NN
produce	VB
17	CD
dollars	NN
help	VB
erase	VB
anticipated	VB
deficit	NN
63	CD
current	JJ
fiscal	JJ
31	CD
merely	RB
means	NN
enforcing	VB
escheat	NN
books	NN
republic	NN
permits	VB
over	IN
bank	NN
accounts	NN
stocks	NN
personal	JJ
persons	NN
missing	VB
seven	CD
bill	NN
drafted	VB
banks	NN
insurance	NN
firms	NN
pipeline	NN
companies	NN
corporations	NN
report	NN
treasurer	NN
cannot	MD
enforced	VB
now	RB
because	CS
almost	RB
impossible	JJ
locate	VB
declared	VB
Dewey	NP
Lawrence	NP
Tyler	NP
lawyer	NN
representing	VB
Bankers	NN
sounded	VB
opposition	NN
keynote	VB
violate	VB
their	PP
contractual	JJ
obligations	NN
depositors	NN
undermine	VB
confidence	NN
customers	NN
If	CS
you	PP
destroy	VB
economy	NN
You	PP
circulation	NN
millions	NN
Charles	NP
Hughes	NP
Sherman	NP
sponsor	NN
failure	NN
enact	VB
amount	NN
gift	NN
taxpayers'	NN
pockets	NN
contention	NN
denied	VB
several	AP
including	IN
Scott	NP
Hudson	NP
Gaynor	NP
Jones	NP
Houston	NP
Brady	NP
Harlingen	NP
Howard	NP
Cox	NP
argued	VB
probably	RB
unconstitutional	JJ
impair	VB
complained	VB
enough	QL
introduced	VB
only	RB
Senators	NN
unanimously	RB
Parkhouse	NP
Dallas	NP
authorizing	VB
schools	NN
deaf	JJ
designed	VB
special	JJ
schooling	NN
students	NN
scholastic	JJ
reduced	VB
debate	NN
authorize	VB
Agency	NN
establish	VB
county-wide	JJ
300,000	CD
population	NN
require	VB
children	NN
between	IN
6	CD
attend	VB
permitting	VB
older	JJ
residential	JJ
School	NN
Deaf	JJ
here	RB
Operating	VB
budget	NN
five	CD
Harris	NP
Bexar	NP
Tarrant	NP
El	NP
Paso	NP
$451,500	NN
savings	NN
$157,460	NN
yearly	RB
year's	NN
capital	NN
outlay	NN
$88,000	NN
absorbed	VB
TEA	NN
estimated	VB
182	CD
scholastics	NN
saving	VB
coming	VB
live	VB
get	VB
hear	VB
horse	NN
parimutuels	NN
Reps.	NN
V.	NP
Red	JJ
Joe	NP
Ratcliff	NP
still	RB
expects	VB
tell	VB
folks	NN
why	WR
thinks	VB
Berry's	NP
We're	PP
'	'
pro	NN
letters	NN
con	FW
betting	VB
believe	VB
if	CS
people	NN
better	JJ
informed	VB
question	NN
oppose	VB
I'm	PP
willing	JJ
stake	NN
my	PP
ex-gambler	NN
San	NP
Antonio	NP
advocacy	NN
ponies	NN
heard	VB
option	NN
proposal	NN
favorable	JJ
although	CS
faces	NN
hard	JJ
sledding	NN
later	RB
house	NN
finally	RB
sent	VB
extending	VB
authority	NN
planning	VB
cities	NN
senate	NN
quickly	RB
whipped	VB
meager	JJ
fare	NN
bills	NN
committees	NN
passing	VB
calendar	NN
One	CD
validated	VB
acts	NN
districts	NN
Another	DT
enlarged	VB
Beaumont	NP
Navigation	NN
District	NN
third	OD
amended	VB
creation	NN
Lamar	NP
previously	RB
adopted	VB
Without	IN
dissent	NN
senators	NN
A.	NP
R.	NP
Schwartz	NP
Galveston	NP
mentally	RB
retarded	VB
Gulf	NN
Coast	NN
district	NN
Money	NN
meantime	NN
accept	VB
gifts	NN
donations	NN
site	NN
Two	CD
revision	NN
Louis	NP
Crump	NP
Saba	NP
17,000	CD
retailers	NN
group	NN
miscellaneous	JJ
excise	NN
taxes	NN
eliminating	VB
requirement	NN
return	NN
notarized	VB
Instead	RB
certificate	NN
correctness	NN
violation	NN
penalty	NN
plus	CC
$1,000	NN
fine	JJ
series	NN
Research	NN
League	NN
Aikin	NP
Paris	NP
relieve	VB
estate	NN
brokers	NN
own	JJ
annual	JJ
licensing	VB
fee	NN
$12	NN
license	NN
Natural	JJ
gas	NN
utility	NN
right	JJ
eminent	JJ
domain	NN
Frank	NP
Owen	NP
3	CD
acquire	VB
sites	NN
underground	JJ
storage	NN
reservoirs	NN
Marshall	NP
Formby	NP
Plainview	NP
Commission	NN
suggested	VB
fill	VB
vacancies	NN
need	NN
costly	JJ
elections	NN
Formby's	NP
appointee	NN
selected	VB
composed	VB
lieutenant	NN
chief	JJ
justice	NN
Supreme	JJ
representatives	NN
decided	VB
taking	VB
poll	NN
kind	NN
Texans	NP
prefer	VB
An	AT
adverse	JJ
81	CD
65	CD
kept	VB
Affairs	NN
referendum	NN
April	NP
4	CD
U.S.	NP
senator	NN
Wesley	NP
Roberts	NP
Seminole	NP
idea	NN
delay	NN
kill	VB
West	JJ
Texan	NP
reported	VB
gotten	VB
Bill	NP
Hollowell	NP
Feb.	NP
22	CD
final	JJ
legislative	JJ
two-thirds	NN
majorities	NN
printed	VB
Opponents	NN
couldn't	MD
information	NN
proposals	NN
intelligent	JJ
choice	NN
All	AB
except	IN
absent	JJ
Paradise	NN
lost	VB
alleged	VB
water	NN
needs	NN
Texas'	NP
big	JJ
Cotten	NP
Weatherford	NP
insisted	VB
development	NN
Representatives	NN
effort	NN
Fort	NN
Worth	NP
cover	VB
places	NN
Wise	NP
hamlet	NN
250	CD
shouting	VB
ended	VB
114	CD
sending	VB
sponsored	VB
Most	AP
$5,000,000	NN
$15,000,000	NN
maximum	JJ
loan	NN
could	MD
project	NN
construed	VB
large	JJ
felt	VB
spent	VB
providing	VB
Statements	NN
paying	VB
benefit	NN
pending	JJ
sway	NN
Cotten's	NP
attack	NN
bill's	NN
defenders	NN
mostly	RB
small-town	NN
Buchanan	NP
Dumas	NP
Eligio	NP
Kika	NP
De	NP
La	FW
Garza	NP
Mission	NN
F.	NP
Collins	NP
Newton	NP
Chapman	NP
Sulphur	NN
Springs	NN
poor	JJ
boy's	NN
peanut	NN
serving	VB
reducing	VB
learning	VB
educational	JJ
methods	NN
C.	NP
Grover	NP
teaches	VB
history	NN
24	CD
12	CD
semester	NN
hours	NN
so-called	JJ
teaching	VB
required	VB
junior	JJ
senior	JJ
high	JJ
normal	JJ
college	NN
30	CD
junior-senior	JJ
teachers	NN
least	AP
credit	NN
subject	NN
remainder	NN
4-year	JJ
subjects	NN
person	NN
master's	NN
degree	NN
physics	NN
chemistry	NN
math	NN
English	JJ
permitted	VB
teach	VB
College	NN
Fifty-three	CD
150	CD
immediately	RB
joined	VB
co-signers	NN
sp.	NN
regents	NN
Junior	JJ
named	VB
Dr.	NN
Clarence	NP
Clark	NP
Hays	NP
Kan.	NP
school's	NN
president	NN
succeed	VB
McLemore	NP
retire	VB
close	RB
holds	VB
earned	VB
Doctor	NN
University	NN
Oklahoma	NP
Master	NN
Science	NN
&	CC
Bachelor	NN
Southwestern	JJ
Okla.	NP
addition	NN
Rhode	NP
Island	NN
Massachusetts	NP
Institute	NN
Technology	NN
captain	NN
basketball	NN
team	NN
football	NN
letterman	NN
served	VB
athletic	JJ
Raymondville	NP
High	JJ
instructor	NN
associate	VB
professor	NN
border	NN
patrolman	NN
Signal	NN
Corps	NN
Army	NN
Denton	NP
Principals	NN
Independent	JJ
re-elected	VB
1961-62	CD
recommendation	NN
Supt.	NN
Chester	NP
O.	NP
Strickland	NP
racial	JJ
discrimination	NN
employment	NN
called	VB
yesterday	NR
blue	JJ
ribbon	NN
dependent	JJ
culminating	VB
ADC	NN
Cook	NP
New	JJ
York	NP
consulting	VB
firm	NN
10	CD
range	NN
soaring	VB
case	NN
load	NN
serious	JJ
causes	NN
family	NN
breakdown	NN
desertion	NN
dependency	NN
Must	MD
solve	VB
monthly	JJ
100,000	CD
recipients	NN
4.4	CD
Virgil	NP
Martin	NP
Carson	NP
Pirie	NP
Co.	NN
We	PP
problems	NN
forced	VB
depend	VB
subsistence	NN
volume	NN
cases	NN
decrease	VB
community	NN
able	JJ
deal	NN
effectively	RB
Relatively	RB
limited	VB
skills	NN
color	NN
underlying	VB
breakups	NN
Calls	VB
extension	NN
Other	AP
Extension	NN
living	VB
relatives	NN
parents	NN
preserving	VB
unity	NN
projects	NN
prevention	NN
illegitimacy	NN
Several	AP
defendants	NN
Summerdale	NP
police	NN
burglary	NN
trial	NN
statements	NN
indicating	VB
guilt	NN
arrest	NN
Parsons	NP
Criminal	JJ
disclosure	NN
Bellows	NP
defense	NN
counsel	NN
startled	VB
observers	NN
viewed	VB
prelude	NN
quarrel	NN
six	CD
attorneys	NN
eight	CD
policemen	NN
grant	NN
client	NN
Alan	NP
Clements	NP
separate	JJ
request	NN
while	CS
all-woman	JJ
courtroom	NN
Fears	VB
prejudicial	JJ
aspects	NN
highly	QL
Some	DT
strongly	RB
indicated	VB
knew	VB
receiving	VB
stolen	VB
involving	VB
themselves	PP
others	NN
leaned	VB
bench	NN
inquired	VB
mean	VB
admitting	VB
?	.
Yes	RB
your	PP
honor	NN
replied	VB
What	WD
amounts	NN
true	JJ
free-for-all	JJ
conflict	NN
July	NP
President	NN
Kennedy	NP
today	NR
pushed	VB
White	JJ
business	NN
devote	VB
attention	NN
working	VB
Berlin	NP
crisis	NN
address	NN
deliver	VB
tomorrow	NR
American	JJ
nationwide	JJ
television	NN
radio	NN
much	AP
week-end	NN
summer	NN
Cape	NN
Cod	NN
writing	VB
drafts	NN
portions	NN
aids	NN
whom	WP
talked	VB
Shortly	RB
Chief	NN
returned	VB
midmorning	NN
Hyannis	NP
Port	NN
Mass.	NP
spokesman	NN
text	NN
quite	QL
way	NN
completion	NN
Decisions	NN
Asked	VB
Pierre	NP
Salinger	NP
press	NN
secretary	NN
say	VB
it's	PP
thru	IN
advisers	NN
staff	NN
doing	VB
involved	VB
composition	NN
wording	NN
rather	RB
minute	NN
decisions	NN
meet	VB
latest	JJ
precipitated	VB
Russia's	NP
demands	NN
Nov.	NP
dismissed	VB
Acting	VB
Karns	NP
prosecution	NN
obtained	VB
unfair	JJ
fundamentally	RB
illegal	JJ
matter	NN
even	RB
significance	NN
